,0
0,Connecticut
1,Delaware
2,Georgia
3,Hawaii
4,Idaho
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Montana
13,Nebraska
14,New Hampshire
15,North Carolina
16,North Dakota
17,Ohio
18,Oklahoma
19,Pennsylvania
20,Rhode Island
21,South Carolina
22,South Dakota
23,Tennessee
24,Utah
25,Vermont
26,West Virginia
