,0
0,Delaware
1,Georgia
2,Idaho
3,Indiana
4,Iowa
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Missouri
13,Montana
14,New Hampshire
15,New Jersey
16,New Mexico
17,North Dakota
18,Ohio
19,Oklahoma
20,Pennsylvania
21,Rhode Island
22,South Dakota
23,Tennessee
24,Utah
25,Vermont
26,West Virginia
